"Food_code","Moisture_change","Start_date","End_date"
21001020,0,2017-01-01,2018-12-31
21002000,0,2017-01-01,2018-12-31
21003000,0,2017-01-01,2018-12-31
21101000,0,2017-01-01,2018-12-31
21101010,0,2017-01-01,2018-12-31
21101020,0,2017-01-01,2018-12-31
21101110,0,2017-01-01,2018-12-31
21101120,0,2017-01-01,2018-12-31
21101130,0,2017-01-01,2018-12-31
21102110,0,2017-01-01,2018-12-31
21102120,0,2017-01-01,2018-12-31
21102130,0,2017-01-01,2018-12-31
21103110,-20,2017-01-01,2018-12-31
21103120,-20,2017-01-01,2018-12-31
21103130,-20,2017-01-01,2018-12-31
21104110,-20,2017-01-01,2018-12-31
21104120,-20,2017-01-01,2018-12-31
21104130,-20,2017-01-01,2018-12-31
21105110,0,2017-01-01,2018-12-31
21105120,0,2017-01-01,2018-12-31
21105130,-20,2017-01-01,2018-12-31
21301000,0,2017-01-01,2018-12-31
21302000,0,2017-01-01,2018-12-31
21304000,0,2017-01-01,2018-12-31
21304110,0,2017-01-01,2018-12-31
21304120,0,2017-01-01,2018-12-31
21304200,-4,2017-01-01,2018-12-31
21304210,-4,2017-01-01,2018-12-31
21304220,-4,2017-01-01,2018-12-31
21305000,0,2017-01-01,2018-12-31
21401000,0,2017-01-01,2018-12-31
21401110,0,2017-01-01,2018-12-31
21401120,-20,2017-01-01,2018-12-31
21401400,0,2017-01-01,2018-12-31
21407000,0,2017-01-01,2018-12-31
21407110,-20,2017-01-01,2018-12-31
21407120,0,2017-01-01,2018-12-31
21410000,0,2017-01-01,2018-12-31
