"Food_code","Subcode","Seq_num","Portion_code","Portion_weight","Start_date","End_date"
11435030,0,5,90000,150,2017-01-01,2018-12-31
11435100,0,6,64562,150,2017-01-01,2018-12-31
11435100,0,7,60598,150,2017-01-01,2018-12-31
11435100,0,8,10205,245,2017-01-01,2018-12-31
11435100,0,9,90000,150,2017-01-01,2018-12-31
11436000,0,1,64039,93,2017-01-01,2018-12-31
11436000,0,2,10205,245,2017-01-01,2018-12-31
11436000,0,3,90000,93,2017-01-01,2018-12-31
11440010,0,1,21000,15,2017-01-01,2018-12-31
11440010,0,2,60868,70,2017-01-01,2018-12-31
11440010,0,3,90000,60,2017-01-01,2018-12-31
11440020,0,1,21000,15,2017-01-01,2018-12-31
11440020,0,2,60868,70,2017-01-01,2018-12-31
11440020,0,3,90000,60,2017-01-01,2018-12-31
11440030,0,1,21000,15,2017-01-01,2018-12-31
11440030,0,2,60868,70,2017-01-01,2018-12-31
11440030,0,3,90000,60,2017-01-01,2018-12-31
11440040,0,1,21000,15,2017-01-01,2018-12-31
11440040,0,2,60868,70,2017-01-01,2018-12-31
11440040,0,3,90000,60,2017-01-01,2018-12-31
11440050,0,1,21000,15,2017-01-01,2018-12-31
11440050,0,2,60868,70,2017-01-01,2018-12-31
11440050,0,3,90000,60,2017-01-01,2018-12-31
11440060,0,1,21000,15,2017-01-01,2018-12-31
11440060,0,2,60868,70,2017-01-01,2018-12-31
11440060,0,3,90000,60,2017-01-01,2018-12-31
11440070,0,1,21000,15,2017-01-01,2018-12-31
11440070,0,2,60868,70,2017-01-01,2018-12-31
11440070,0,3,90000,60,2017-01-01,2018-12-31
11446000,0,1,64283,150,2017-01-01,2018-12-31
11446000,0,2,90000,150,2017-01-01,2018-12-31
11459990,0,1,10205,175,2017-01-01,2018-12-31
11459990,0,2,64289,160,2017-01-01,2018-12-31
11459990,0,3,64733,160,2017-01-01,2018-12-31
11459990,0,4,64734,320,2017-01-01,2018-12-31
11459990,0,5,64735,480,2017-01-01,2018-12-31
11459990,0,6,90000,175,2017-01-01,2018-12-31
11460000,0,1,10205,175,2017-01-01,2018-12-31
11460000,0,2,64289,160,2017-01-01,2018-12-31
11460000,0,3,64733,160,2017-01-01,2018-12-31
11460000,0,4,64734,320,2017-01-01,2018-12-31
11460000,0,5,64735,480,2017-01-01,2018-12-31
11460000,0,6,90000,175,2017-01-01,2018-12-31
11460100,0,1,10205,175,2017-01-01,2018-12-31
11460100,0,2,64289,160,2017-01-01,2018-12-31
11460100,0,3,64733,160,2017-01-01,2018-12-31
11460100,0,4,64734,320,2017-01-01,2018-12-31
11460100,0,5,64735,480,2017-01-01,2018-12-31
11460100,0,6,90000,175,2017-01-01,2018-12-31
11460500,0,1,10205,175,2017-01-01,2018-12-31
11460500,0,2,90000,175,2017-01-01,2018-12-31
11460510,0,1,10205,175,2017-01-01,2018-12-31
11460510,0,2,90000,175,2017-01-01,2018-12-31
11461200,0,1,61853,75,2017-01-01,2018-12-31
11461200,0,2,90000,75,2017-01-01,2018-12-31
11461210,0,1,60345,65,2017-01-01,2018-12-31
11461210,0,2,90000,65,2017-01-01,2018-12-31
11461220,0,1,60345,65,2017-01-01,2018-12-31
11461220,0,2,90000,65,2017-01-01,2018-12-31
11461250,0,1,60589,125,2017-01-01,2018-12-31
11461250,0,2,90000,125,2017-01-01,2018-12-31
11461260,0,1,60589,125,2017-01-01,2018-12-31
11461260,0,2,90000,125,2017-01-01,2018-12-31
11461300,0,1,60589,255,2017-01-01,2018-12-31
11461300,0,2,90000,255,2017-01-01,2018-12-31
11461320,0,1,60589,255,2017-01-01,2018-12-31
11461320,0,2,90000,255,2017-01-01,2018-12-31
11480010,0,1,64284,113,2017-01-01,2018-12-31
11480010,0,2,90000,85,2017-01-01,2018-12-31
11480020,0,1,64284,113,2017-01-01,2018-12-31
11480020,0,2,90000,85,2017-01-01,2018-12-31
11480030,0,1,64284,113,2017-01-01,2018-12-31
11480030,0,2,90000,85,2017-01-01,2018-12-31
11480040,0,1,64284,113,2017-01-01,2018-12-31
11480040,0,2,90000,85,2017-01-01,2018-12-31
11511000,0,1,10205,248,2017-01-01,2018-12-31
11511000,0,2,30000,31,2017-01-01,2018-12-31
11511000,0,3,90000,248,2017-01-01,2018-12-31
11511000,0,5,64294,248,2017-01-01,2018-12-31
11511100,0,1,10205,248,2017-01-01,2018-12-31
11511100,0,2,30000,31,2017-01-01,2018-12-31
11511100,0,3,90000,248,2017-01-01,2018-12-31
11511100,0,5,64294,248,2017-01-01,2018-12-31
11511200,0,1,10205,248,2017-01-01,2018-12-31
11511200,0,2,30000,31,2017-01-01,2018-12-31
11511200,0,3,90000,248,2017-01-01,2018-12-31
11511200,0,5,64294,248,2017-01-01,2018-12-31
11511300,0,1,10205,248,2017-01-01,2018-12-31
11511300,0,2,30000,31,2017-01-01,2018-12-31
11511300,0,3,90000,248,2017-01-01,2018-12-31
11511300,0,5,64294,248,2017-01-01,2018-12-31
11511400,0,1,30000,31,2017-01-01,2018-12-31
11511400,0,2,10205,248,2017-01-01,2018-12-31
11511400,0,3,64294,248,2017-01-01,2018-12-31
11511400,0,4,90000,248,2017-01-01,2018-12-31
11511550,0,1,10205,248,2017-01-01,2018-12-31
11511550,0,2,30000,31,2017-01-01,2018-12-31
11511550,0,3,90000,248,2017-01-01,2018-12-31
11511600,0,1,10205,248,2017-01-01,2018-12-31
11511600,0,2,30000,31,2017-01-01,2018-12-31
11511600,0,3,90000,248,2017-01-01,2018-12-31
11511610,0,1,10205,248,2017-01-01,2018-12-31
11511610,0,2,30000,31,2017-01-01,2018-12-31
11511610,0,3,90000,248,2017-01-01,2018-12-31
11511700,0,1,10205,248,2017-01-01,2018-12-31
11511700,0,2,30000,31,2017-01-01,2018-12-31
11511700,0,3,90000,248,2017-01-01,2018-12-31
11512010,0,1,10205,248,2017-01-01,2018-12-31
11512010,0,2,30000,31,2017-01-01,2018-12-31
11512010,0,3,90000,248,2017-01-01,2018-12-31
11512020,0,1,10205,248,2017-01-01,2018-12-31
11512020,0,2,30000,31,2017-01-01,2018-12-31
11512020,0,3,90000,248,2017-01-01,2018-12-31
11512030,0,1,10205,248,2017-01-01,2018-12-31
11512030,0,2,30000,31,2017-01-01,2018-12-31
11512030,0,3,90000,248,2017-01-01,2018-12-31
11512100,0,1,10205,248,2017-01-01,2018-12-31
11512100,0,2,30000,31,2017-01-01,2018-12-31
11512100,0,3,90000,248,2017-01-01,2018-12-31
